Fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2023-12-01 00:05:00,1.002,6.138,3.942,4.725,7.8225,7.1925,0.762,10.4475,0.396,8.79375
2023-12-01 00:10:00,1.02,5.49,3.942,4.125,7.2975,7.4025,0.768,10.185,0.408,8.47875
2023-12-01 00:15:00,0.96,5.256,3.906,4.65,7.2975,7.2975,0.762,9.765,0.372,8.37375
2023-12-01 00:20:00,1.008,6.642,3.978,4.05,7.245,7.0875,0.762,8.8725,0.36,8.26875
2023-12-01 00:25:00,1.032,6.498,3.924,4.8,7.56,6.8775,0.768,10.08,0.396,8.295
2023-12-01 00:30:00,0.978,6.138,3.96,4.2,6.7725,6.72,0.762,9.9225,0.372,8.89875
2023-12-01 00:35:00,1.002,6.156,3.978,4.65,7.5075,6.825,0.768,9.45,0.348,8.82
2023-12-01 00:40:00,1.02,5.814,3.996,3.9,6.7725,6.72,0.762,8.715,0.36,8.925
2023-12-01 00:45:00,0.99,5.328,4.212,4.275,6.72,7.1925,0.768,8.925,0.348,7.455
2023-12-01 00:50:00,0.972,6.426,4.248,4.125,6.3525,6.93,0.768,8.5575,0.432,8.7675
2023-12-01 00:55:00,1.02,6.696,4.518,4.425,6.4575,6.7725,0.762,9.2925,0.348,8.00625
2023-12-01 01:00:00,0.996,5.976,4.464,4.125,6.1425,6.5625,0.768,9.9225,0.384,8.95125
2023-12-01 01:05:00,1.002,6.264,4.23,4.575,5.9325,6.4575,0.768,10.3425,0.384,8.9775
2023-12-01 01:10:00,0.984,6.048,4.302,4.2,6.72,6.93,0.762,9.2925,0.384,8.7675
2023-12-01 01:15:00,0.99,5.742,4.338,4.65,6.7725,6.3525,0.768,8.505,0.384,8.00625
2023-12-01 01:20:00,1.014,5.994,4.248,4.275,7.1925,7.14,0.768,9.8175,0.348,7.8225
2023-12-01 01:25:00,0.972,5.976,4.284,4.575,7.035,6.825,0.768,8.925,0.396,8.47875
